Date,Symbol,rk_parzen,rv5,close_price,,
20150102,.SPX,7.94E-05,8.39E-05,2058.14,,
20150105,.SPX,8.34E-05,7.00E-05,2021.07,,
20150106,.SPX,0.000129871,0.000110993,2002.2,,
20150107,.SPX,8.09E-05,8.18E-05,2025.76,,
20150108,.SPX,8.98E-05,7.16E-05,2061.945,,
20150109,.SPX,7.05E-05,6.25E-05,2045.11,,
20150112,.SPX,9.84E-05,6.72E-05,2028.59,,
20150113,.SPX,0.000230327,0.000218888,2023.03,,
20150114,.SPX,0.000132273,0.000147062,2011.13,,
20150115,.SPX,0.000113039,0.000103318,1992.76,,
20150116,.SPX,7.47E-05,6.44E-05,2018.98,,
20150120,.SPX,6.02E-05,8.37E-05,2022.45,,
20150121,.SPX,4.87E-05,0.000100139,2032.42,,
20150122,.SPX,7.31E-05,6.10E-05,2063.37,,
20150123,.SPX,2.20E-05,2.49E-05,2051.75,,
20150126,.SPX,2.90E-05,3.01E-05,2056.83,,
20150127,.SPX,0.000104944,0.000102598,2029.77,,
20150128,.SPX,0.000112307,9.28E-05,2002.52,,
20150129,.SPX,7.79E-05,8.76E-05,2021.47,,
20150130,.SPX,0.00011778,9.80E-05,1995.37,,
20150202,.SPX,0.000176156,0.000117824,2020.84,,
20150203,.SPX,8.91E-05,8.86E-05,2049.76,,
20150204,.SPX,7.14E-05,6.66E-05,2041.365,,
20150205,.SPX,3.16E-05,3.40E-05,2062.3,,
20150206,.SPX,4.47E-05,4.13E-05,2055.5,,
20150209,.SPX,2.27E-05,3.36E-05,2046.54,,
20150210,.SPX,3.15E-05,3.88E-05,2068.27,,
20150211,.SPX,2.45E-05,2.79E-05,2068.265,,
20150212,.SPX,2.07E-05,2.63E-05,2088.17,,
20150213,.SPX,1.20E-05,1.04E-05,2096.85,,
20150217,.SPX,1.62E-05,1.50E-05,2099.79,,
20150218,.SPX,1.42E-05,1.92E-05,2099.62,,
20150219,.SPX,1.93E-05,2.02E-05,2097.54,,
20150220,.SPX,3.42E-05,2.07E-05,2110.11,,
20150223,.SPX,1.34E-05,1.13E-05,2109.52,,
20150224,.SPX,1.06E-05,1.02E-05,2115.645,,
20150225,.SPX,9.98E-06,1.01E-05,2113.75,,
20150226,.SPX,1.71E-05,1.97E-05,2110.79,,
20150227,.SPX,8.16E-06,1.20E-05,2104.5,,
20150302,.SPX,1.21E-05,7.12E-06,2116.95,,
20150303,.SPX,2.50E-05,2.51E-05,2107.77,,
20150304,.SPX,5.68E-05,4.46E-05,2098.67,,
20150305,.SPX,1.27E-05,1.27E-05,2101.08,,
20150306,.SPX,5.57E-05,5.45E-05,2071.25,,
20150309,.SPX,1.42E-05,1.51E-05,2079.41,,
20150310,.SPX,8.25E-05,7.06E-05,2045.31,,
20150311,.SPX,2.40E-05,3.49E-05,2040.47,,
20150312,.SPX,5.78E-05,4.26E-05,2065.82,,
20150313,.SPX,4.70E-05,4.97E-05,2053.36,,
20150316,.SPX,3.82E-05,2.74E-05,2080.84,,
20150317,.SPX,2.98E-05,3.48E-05,2074.22,,
20150318,.SPX,0.000198875,0.000110553,2099.22,,
20150319,.SPX,2.81E-05,3.06E-05,2089.47,,
20150320,.SPX,3.83E-05,4.44E-05,2108.28,,
20150323,.SPX,1.55E-05,1.40E-05,2104.49,,
20150324,.SPX,2.06E-05,2.03E-05,2091.64,,
20150325,.SPX,5.65E-05,4.71E-05,2061.2,,
20150326,.SPX,6.31E-05,7.63E-05,2056.285,,
20150327,.SPX,1.29E-05,3.44E-05,2060.695,,
20150330,.SPX,5.70E-05,4.64E-05,2086.16,,
